Imports,2007,2008,2009,2010,2011,2012,2013,2014
Total Imports,7642033000,5057631000,5326438000,6439425000,6331064000,6129865000,5847287000,4995934000
0|Food,881615000,801874000,812921000,938659000,948343000,963570000,919330000,840925000
1|Beverages and Tobacco,92411000,79862000,76012000,77446000,79450000,77063000,73377000,71671000
2|Crude Materials (excl. Fuel),71854000,54867000,60831000,62833000,46740000,56029000,63946000,56502000
3|Mineral Fuels etcetera,2787509000,1419422000,1688721000,2310902000,2217991000,2176655000,1971947000,1147002000
4|Animal & Vegetable Oils & Fats,54059000,33855000,32643000,58565000,51512000,42821000,35428000,32434000
5|Chemicals,895037000,738704000,696853000,873397000,895635000,749065000,601667000,582385000
6|Manufactured Goods,872247000,555494000,587112000,645669000,616393000,600637000,611474000,646921000
7|Machinery and Transport Equipment,1203447000,819713000,793435000,932107000,902444000,905732000,964227000,1030804000
8|Misc. Manufactured Articles,665601000,461047000,483046000,471451000,454441000,444006000,490717000,478411000
9|Other,118253000,92792000,94862000,68396000,118115000,114287000,115174000,108879000
Total (incl. Single Entity Free Zone),7642033000,5057631000,5326438000,6439425000,6331064000,6129865000,5847287000,4995934000
Of which Jamaica Free Zone*,##NA##,##NA##,226812000,347253000,351690000,276229000,124687000,138344000
