name,place,population,admin_level,x,y,geonames:id,geonames:feature_code
Orange Park,village,,8,-77.12421,18.34118,3487940,PPL
Harmony Vale,village,,8,-77.20467,18.26697,3487941,PPL
Sherwood Content,village,,8,-77.62834,18.39116,3487943,PPL
Zion Hill,village,,8,-76.89336,18.11574,3487944,PPL
Y.S. Estate,village,,8,-77.81667,18.15,3487948,PPL
York Street,village,,8,-77.02783,18.18234,3487950,PPL
York Castle,village,,8,-77.2227,18.26993,3487951,PPL
York,village,,8,-77.93335,18.29148,3487952,PPL
York,village,,8,-77.45,17.93333,3487953,PPL
York,village,,8,-77.27405,17.94394,3487954,PPL
Yates Savanna,village,,8,-77.23803,17.86629,3487957,PPL
Yallahs,village,7644,8,-76.56245,17.8748,3487963,PPL
Worthy Park,village,,8,-77.15,18.14,3487967,PPL
Worcester,village,,8,-77.0,17.96667,3487970,PPL
Woolwich,village,,8,-77.41667,18.3,3487971,PPL
Woolwich,village,,8,-77.75,18.06667,3487972,PPL
Woolbury,village,,8,-77.15,18.28333,3487973,PPL
Woodstock,village,,8,-76.66667,18.23333,3487974,PPL
Woodstock,village,,8,-77.9,18.15,3487975,PPL
Woodside,village,,8,-76.93533,18.25579,3487977,PPL
Woodside,village,,8,-77.28333,17.98333,3487978,PPL
Woodlands,village,,8,-76.95,17.96667,3487979,PPL
Woodlands,village,,8,-77.48333,17.9,3487980,PPL
Wood Hall,village,,8,-77.26024,18.05734,3487981,PPL
Woodhall,village,,8,-77.13676,18.04156,3487982,PPL
Wood Hall,village,,8,-77.11667,17.95,3487983,PPL
Winefield,village,,8,-77.2,18.38333,3487987,PPL
Windsor Park,village,,8,-76.98333,17.96667,3487988,PPL
Windsor Lodge,village,,8,-77.8,18.43333,3487990,PPL
Windsor Lodge,village,,8,-76.63333,18.01667,3487991,PPL
Windsor Heights,village,,8,-77.19975,18.42862,3487992,PPL
Windsor Castle,village,,8,-76.69935,18.2598,3487995,PPL
Windsor Castle,village,,8,-76.95984,18.26695,3487996,PPL
Windsor Castle,village,,8,-76.55,17.93333,3487997,PPL
Windsor,village,,8,-77.61667,18.36667,3487998,PPL
Windsor,village,,8,-77.64776,18.35945,3487999,PPL
Windsor,village,,8,-78.11667,18.23333,3488000,PPL
Windsor,village,,8,-76.44987,18.10953,3488001,PPL
Winchester,village,,8,-77.76667,17.96667,3488003,PPL
Winchester,village,,8,-76.29196,17.93304,3488004,PPL
Wiltshire,village,,8,-77.95507,18.42216,3488005,PPL
Wilton,village,,8,-77.65,18.05,3488006,PPL
Wilson,village,,8,-77.5667,18.2667,3488007,PPL
Wilmington,village,,8,-76.39742,17.92567,3488008,PPL
Williams Town,village,,8,-76.96667,18.28333,3488011,PPL
Williamsons,village,,8,-77.15,18.2,3488012,PPL
Williams Moreland,village,,8,-78.26667,18.28333,3488013,PPL
Williamsfield,village,,8,-77.38333,18.43333,3488015,PPL
Williamsfield,village,,8,-78.06083,18.32364,3488016,PPL
