Exports,2007,2008,2009,2010,2011,2012,2013
Total Exports,1837965570,1163555840,1164491010,1393695780,1535502930,1587848280,1612896600
0|Food,185849280,208881800,181275280,199383650,241251530,243195370,266198770
1|Beverages and Tobacco,67142330,89606570,90630790,97212180,92154250,83597590,89140810
2|Crude Materials (excl. Fuel),997182690,413109250,482834150,659835730,591284570,692422720,779187940
3|Mineral Fuels etcetera,314626600,189114680,254683300,319651480,344552720,354097130,340957920
4|Animal & Vegetable Oils & Fats,40530,175650,2552690,241820,127900,393090,443760
5|Chemicals,226349950,180870490,72597020,40194170,205333640,109898090,31329070
6|Manufactured Goods,9025060,22614490,29220030,8385620,15684370,33926850,56144430
7|Machinery and Transport Equipment,26145750,35820100,19548680,43287350,20251980,39162520,24108420
8|Misc. Manufactured Articles,11603390,18091820,24834950,16392230,16338930,24341230,18158290
9|Other,0,5271000,6314120,9111550,8523050,6813700,7227170
Total (incl. Single Entity Free Zone),1837965570,1163555840,1164491010,1393695780,1535502930,1587848280,1612896600
